portfolio,action,time,amount,balance,unit,transferId,tradeId,orderId
default,deposit,2021-01-14T12:46:46.369Z,43753.8400000000000000,43753.8400000000000000,USD,47787f2f-bb0f-416e-bd0c-71553ded8623,,
default,deposit,2021-01-14T12:59:44.113Z,34.0000000000000000,34.0000000000000000,ETH,ba7f0600-c24e-4942-a905-4ae2b498f586,,
default,deposit,2021-01-14T13:00:27.835Z,2.0000000000000000,2.0000000000000000,BTC,1021a991-fdc8-41c1-8f1a-a1acc9b519ba,,
default,match,2021-01-20T00:01:18.725Z,-2266.6209555000000000,41487.2190445000000000,USD,,52525672,b96b1e39-8103-4b09-82d6-5726d911d40c
default,match,2021-01-20T00:01:18.725Z,15.1108063700000000,15.1108063700000000,LTC,,52525672,b96b1e39-8103-4b09-82d6-5726d911d40c
default,fee,2021-01-20T00:01:18.725Z,-11.3331047775000000,41475.8859397225000000,USD,,52525672,b96b1e39-8103-4b09-82d6-5726d911d40c
default,match,2021-01-20T00:01:18.811Z,-12241.8441735000000000,29234.0417662225000000,USD,,52525673,b96b1e39-8103-4b09-82d6-5726d911d40c
default,match,2021-01-20T00:01:18.811Z,81.6122944900000000,96.7231008600000000,LTC,,52525673,b96b1e39-8103-4b09-82d6-5726d911d40c
default,fee,2021-01-20T00:01:18.811Z,-61.2092208675000000,29172.8325453550000000,USD,,52525673,b96b1e39-8103-4b09-82d6-5726d911d40c
default,match,2021-01-20T00:01:18.853Z,-150.0000000000000000,29022.8325453550000000,USD,,52525674,b96b1e39-8103-4b09-82d6-5726d911d40c
default,match,2021-01-20T00:01:18.853Z,1.0000000000000000,97.7231008600000000,LTC,,52525674,b96b1e39-8103-4b09-82d6-5726d911d40c
default,fee,2021-01-20T00:01:18.853Z,-0.7500000000000000,29022.0825453550000000,USD,,52525674,b96b1e39-8103-4b09-82d6-5726d911d40c
default,match,2021-01-20T00:01:18.864Z,-283.0194150000000000,28739.0631303550000000,USD,,52525675,b96b1e39-8103-4b09-82d6-5726d911d40c
default,match,2021-01-20T00:01:18.864Z,1.8867961000000000,99.6098969600000000,LTC,,52525675,b96b1e39-8103-4b09-82d6-5726d911d40c
default,fee,2021-01-20T00:01:18.864Z,-1.4150970750000000,28737.6480332800000000,USD,,52525675,b96b1e39-8103-4b09-82d6-5726d911d40c
default,match,2021-01-20T00:01:18.873Z,-58.5154560000000000,28679.1325772800000000,USD,,52525676,b96b1e39-8103-4b09-82d6-5726d911d40c
default,match,2021-01-20T00:01:18.873Z,0.3901030400000000,100.0000000000000000,LTC,,52525676,b96b1e39-8103-4b09-82d6-5726d911d40c
default,fee,2021-01-20T00:01:18.873Z,-0.2925772800000000,28678.8400000000000000,USD,,52525676,b96b1e39-8103-4b09-82d6-5726d911d40c
default,match,2021-01-20T03:38:18.130Z,-17600.0000000000000000,11078.8400000000000000,USD,,124568769,3906961e-5828-4277-94d8-f24f3348ad09
default,match,2021-01-20T03:38:18.130Z,0.5000000000000000,2.5000000000000000,BTC,,124568769,3906961e-5828-4277-94d8-f24f3348ad09
default,fee,2021-01-20T03:38:18.130Z,-88.0000000000000000,10990.8400000000000000,USD,,124568769,3906961e-5828-4277-94d8-f24f3348ad09
default,deposit,2021-02-07T15:40:49.384Z,10000.0000000000000000,20990.8400000000000000,USD,843060ec-d9f7-47fd-9416-2487e4876fe3,,
default,match,2021-02-14T08:01:18.122Z,-37.4466155800000000,62.5533844200000000,LTC,,54745077,aab4a454-10dd-443e-8a89-cc156d714b29
default,match,2021-02-14T08:01:18.122Z,8612.7215834000000000,29603.5615834000000000,USD,,54745077,aab4a454-10dd-443e-8a89-cc156d714b29
default,fee,2021-02-14T08:01:18.122Z,-30.1445255419000000,29573.4170578581000000,USD,,54745077,aab4a454-10dd-443e-8a89-cc156d714b29
default,match,2021-02-14T08:01:18.190Z,-1.5000000000000000,61.0533844200000000,LTC,,54745078,aab4a454-10dd-443e-8a89-cc156d714b29
default,match,2021-02-14T08:01:18.190Z,345.0000000000000000,29918.4170578581000000,USD,,54745078,aab4a454-10dd-443e-8a89-cc156d714b29
default,fee,2021-02-14T08:01:18.190Z,-1.2075000000000000,29917.2095578581000000,USD,,54745078,aab4a454-10dd-443e-8a89-cc156d714b29
default,match,2021-02-14T08:01:18.208Z,-1.5000000000000000,59.5533844200000000,LTC,,54745079,aab4a454-10dd-443e-8a89-cc156d714b29
default,match,2021-02-14T08:01:18.208Z,345.0000000000000000,30262.2095578581000000,USD,,54745079,aab4a454-10dd-443e-8a89-cc156d714b29
default,fee,2021-02-14T08:01:18.208Z,-1.2075000000000000,30261.0020578581000000,USD,,54745079,aab4a454-10dd-443e-8a89-cc156d714b29
default,match,2021-02-14T08:01:18.217Z,-32.7216753400000000,26.8317090800000000,LTC,,54745080,aab4a454-10dd-443e-8a89-cc156d714b29
default,match,2021-02-14T08:01:18.217Z,7525.9853282000000000,37786.9873860581000000,USD,,54745080,aab4a454-10dd-443e-8a89-cc156d714b29
default,fee,2021-02-14T08:01:18.217Z,-26.3409486487000000,37760.6464374094000000,USD,,54745080,aab4a454-10dd-443e-8a89-cc156d714b29
default,match,2021-02-14T08:01:18.222Z,-5.5000000000000000,21.3317090800000000,LTC,,54745081,aab4a454-10dd-443e-8a89-cc156d714b29
default,match,2021-02-14T08:01:18.222Z,1265.0000000000000000,39025.6464374094000000,USD,,54745081,aab4a454-10dd-443e-8a89-cc156d714b29
default,fee,2021-02-14T08:01:18.222Z,-4.4275000000000000,39021.2189374094000000,USD,,54745081,aab4a454-10dd-443e-8a89-cc156d714b29
default,match,2021-02-14T08:01:18.228Z,-9.5000000000000000,11.8317090800000000,LTC,,54745082,aab4a454-10dd-443e-8a89-cc156d714b29
default,match,2021-02-14T08:01:18.228Z,2185.0000000000000000,41206.2189374094000000,USD,,54745082,aab4a454-10dd-443e-8a89-cc156d714b29
default,fee,2021-02-14T08:01:18.228Z,-7.6475000000000000,41198.5714374094000000,USD,,54745082,aab4a454-10dd-443e-8a89-cc156d714b29
default,match,2021-02-14T08:01:18.234Z,-11.1319342800000000,0.6997748000000000,LTC,,54745083,aab4a454-10dd-443e-8a89-cc156d714b29
default,match,2021-02-14T08:01:18.234Z,2560.3448844000000000,43758.9163218094000000,USD,,54745083,aab4a454-10dd-443e-8a89-cc156d714b29
default,fee,2021-02-14T08:01:18.234Z,-8.9612070954000000,43749.9551147140000000,USD,,54745083,aab4a454-10dd-443e-8a89-cc156d714b29
default,match,2021-02-14T08:01:18.239Z,-0.6997748000000000,0.0000000000000000,LTC,,54745084,aab4a454-10dd-443e-8a89-cc156d714b29
default,match,2021-02-14T08:01:18.239Z,160.9482040000000000,43910.9033187140000000,USD,,54745084,aab4a454-10dd-443e-8a89-cc156d714b29
default,fee,2021-02-14T08:01:18.239Z,-0.5633187140000000,43910.3400000000000000,USD,,54745084,aab4a454-10dd-443e-8a89-cc156d714b29
default,withdrawal,2021-02-16T21:10:48.977Z,-20.0000000000000000,14.0000000000000000,ETH,78d666cf-70c9-4629-a700-0f7ef2cc02e9,,
default,match,2021-02-22T22:04:54.888Z,-0.3126380100000000,2.1873619900000000,BTC,,136305490,48bbd029-7089-4f52-869f-028f983c9872
default,match,2021-02-22T22:04:54.888Z,17195.0905500000000000,61105.4305500000000000,USD,,136305490,48bbd029-7089-4f52-869f-028f983c9872
default,fee,2021-02-22T22:04:54.888Z,-60.1828169250000000,61045.2477330750000000,USD,,136305490,48bbd029-7089-4f52-869f-028f983c9872
default,match,2021-02-22T22:04:54.931Z,-0.1873619900000000,2.0000000000000000,BTC,,136305491,48bbd029-7089-4f52-869f-028f983c9872
default,match,2021-02-22T22:04:54.931Z,10304.9094500000000000,71350.1571830750000000,USD,,136305491,48bbd029-7089-4f52-869f-028f983c9872
default,fee,2021-02-22T22:04:54.931Z,-36.0671830750000000,71314.0900000000000000,USD,,136305491,48bbd029-7089-4f52-869f-028f983c9872
default,withdrawal,2021-03-01T12:22:08.605Z,-0.1000355500000000,1.8999644500000000,BTC,86a0e419-8737-4b1e-8377-588abdcafc8d,,
default,match,2021-03-03T09:00:22.537Z,-0.5548545000000000,1.3451099500000000,BTC,,140580986,f668c9b2-00d7-4345-b079-4722720a0b7c
default,match,2021-03-03T09:00:22.537Z,28297.5795000000000000,99611.6695000000000000,USD,,140580986,f668c9b2-00d7-4345-b079-4722720a0b7c
default,fee,2021-03-03T09:00:22.537Z,-42.4463692500000000,99569.2231307500000000,USD,,140580986,f668c9b2-00d7-4345-b079-4722720a0b7c
default,match,2021-03-03T09:00:22.550Z,-0.1400000000000000,1.2051099500000000,BTC,,140580987,f668c9b2-00d7-4345-b079-4722720a0b7c
default,match,2021-03-03T09:00:22.550Z,7140.0000000000000000,106709.2231307500000000,USD,,140580987,f668c9b2-00d7-4345-b079-4722720a0b7c
default,fee,2021-03-03T09:00:22.550Z,-10.7100000000000000,106698.5131307500000000,USD,,140580987,f668c9b2-00d7-4345-b079-4722720a0b7c
default,match,2021-03-03T09:00:22.564Z,-0.0400000000000000,1.1651099500000000,BTC,,140580988,f668c9b2-00d7-4345-b079-4722720a0b7c
default,match,2021-03-03T09:00:22.564Z,2040.0000000000000000,108738.5131307500000000,USD,,140580988,f668c9b2-00d7-4345-b079-4722720a0b7c
default,fee,2021-03-03T09:00:22.564Z,-3.0600000000000000,108735.4531307500000000,USD,,140580988,f668c9b2-00d7-4345-b079-4722720a0b7c
default,match,2021-03-03T09:00:22.578Z,-0.1651100500000000,0.9999999000000000,BTC,,140580989,f668c9b2-00d7-4345-b079-4722720a0b7c
default,match,2021-03-03T09:00:22.578Z,8420.6125500000000000,117156.0656807500000000,USD,,140580989,f668c9b2-00d7-4345-b079-4722720a0b7c
default,fee,2021-03-03T09:00:22.578Z,-12.6309188250000000,117143.4347619250000000,USD,,140580989,f668c9b2-00d7-4345-b079-4722720a0b7c
default,match,2021-03-05T00:51:35.379Z,-13292.4047345000000000,103851.0300274250000000,USD,,90448450,4fc374e0-d3f4-4e01-b545-e5eaeec0b329
default,match,2021-03-05T00:51:35.379Z,9.0117998200000000,23.0117998200000000,ETH,,90448450,4fc374e0-d3f4-4e01-b545-e5eaeec0b329
default,fee,2021-03-05T00:51:35.379Z,-19.9386071017500000,103831.0914203232500000,USD,,90448450,4fc374e0-d3f4-4e01-b545-e5eaeec0b329
default,match,2021-03-05T00:51:36.770Z,-710.2081782500000000,103120.8832420732500000,USD,,90448454,4fc374e0-d3f4-4e01-b545-e5eaeec0b329
default,match,2021-03-05T00:51:36.770Z,0.4814970700000000,23.4932968900000000,ETH,,90448454,4fc374e0-d3f4-4e01-b545-e5eaeec0b329
default,fee,2021-03-05T00:51:36.770Z,-1.0653122673750000,103119.8179298058750000,USD,,90448454,4fc374e0-d3f4-4e01-b545-e5eaeec0b329
default,match,2021-03-05T00:51:36.888Z,-9597.3870872500000000,93522.4308425558750000,USD,,90448455,4fc374e0-d3f4-4e01-b545-e5eaeec0b329
default,match,2021-03-05T00:51:36.888Z,6.5067031100000000,30.0000000000000000,ETH,,90448455,4fc374e0-d3f4-4e01-b545-e5eaeec0b329
default,fee,2021-03-05T00:51:36.888Z,-14.3960806308750000,93508.0347619250000000,USD,,90448455,4fc374e0-d3f4-4e01-b545-e5eaeec0b329
